CHEMBL1110,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
CHEMBL1113,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
CHEMBL1117,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O
CHEMBL111861,C[C@]12CC[C@H](C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
CHEMBL112,CC(=O)NC1=CC=C(C=C1)O
CHEMBL1123,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
CHEMBL113,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
CHEMBL1130,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O
CHEMBL114,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O
CHEMBL1140,C1=CC(=CN=C1)C(=O)N
CHEMBL1144,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O
CHEMBL1148,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C
CHEMBL1149,C[N+](C)(C)C[C@@H](CC(=O)[O-])O
CHEMBL115,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5
CHEMBL115769,COC1=CC(=NC2=C1C(=C(N2)C3=CC=C(C=C3)F)C4=CC=NC=C4)N
CHEMBL1159650,CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl
CHEMBL116,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N
CHEMBL11608,C1=CC(=CC=C1CCN)O
CHEMBL1162,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
CHEMBL116438,COC1=C(C=CC(=C1)/C=C/C(=C/C(=O)/C=C/C2=CC(=C(C=C2)O)OC)/O)O
CHEMBL1167,C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)NC)O)NC)O)O
CHEMBL1168,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O
CHEMBL1169,C1=CC(=C(C=C1N)O)C(=O)O
CHEMBL1170237,CN1C(=C(N(C1=N)C)O)/C=C\2/C=NC3=C2C=C(C=C3)Br
CHEMBL1172,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
CHEMBL1172318,C1=CC=C(C(=C1)/C=C\2/C(=O)C3=C(O2)C=C(C=C3)O)O
CHEMBL1173331,CN1C(=C(N=C1N)O)/C=C\2/C=NC3=C2C=C(C=C3)Br
CHEMBL1173525,CN1C(=C(N=C1N)O)/C=C\2/C=NC3=CC=CC=C32
CHEMBL117405,CC(C)NC[C@@H](COC1=CC=CC2=C1C=CN2)O
CHEMBL1177,C1=CC=C(C=C1)C2C(=O)N=C(O2)N
CHEMBL1179,C1[C@H]([C@@H]1N)C2=CC=CC=C2
CHEMBL118,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
CHEMBL1185605,C1=CC=C(C=C1)CNCCCNCCCCNCCCN
